City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,qaqortoq,60.7167,-46.0333,0.45,99,100,2.16,GL,1699493757
83,puerto ayora,-0.7393,-90.3518,24.75,92,94,3.13,EC,1699493630
84,ust-nera,64.5667,143.2,-26.0,97,68,1.86,RU,1699493757
85,salinopolis,-0.6136,-47.3561,26.58,80,89,3.4,BR,1699493757
86,talnakh,69.4865,88.3972,-6.55,94,100,8.43,RU,1699493758
87,lensk,60.7253,114.9278,-15.75,87,90,1.4,RU,1699493758
88,vorgashor,67.5833,63.95,-0.68,98,100,2.18,RU,1699493758
89,magong,23.5654,119.5863,24.86,82,77,4.56,TW,1699493758
90,petrolina,-9.3986,-40.5008,27.03,65,0,3.6,BR,1699493507
91,as sulayyil,20.4607,45.5779,20.14,32,0,3.31,SA,1699493244
92,konarka,19.9,86.1167,19.22,59,4,3.27,IN,1699493759
93,novofedorivka,46.1713,32.3178,12.05,77,100,7.3,UA,1699493759
94,kidal,18.4411,1.4078,24.63,14,26,1.99,ML,1699493760
95,tofol,5.3248,163.0078,28.2,81,100,6.52,FM,1699493760
96,le vauclin,14.5452,-60.8388,26.03,94,75,2.57,MQ,1699493760
97,mocimboa,-11.3167,40.35,23.57,91,88,1.98,MZ,1699493760
98,ilulissat,69.2167,-51.1,-1.99,86,75,2.57,GL,1699493761
99,cruzeiro do sul,-29.5128,-51.9853,23.38,88,86,0.27,BR,1699493761
100,utrik,11.2278,169.8474,27.9,82,86,9.82,MH,1699493762
101,sinmak,38.4167,126.2333,9.97,68,72,3.09,KP,1699493762
102,minas de marcona,-15.2119,-75.1103,14.5,83,52,4.04,PE,1699493762
103,yaren,-0.5472,166.916,29.03,80,100,7.94,NR,1699493191
104,ungsang-nodongjagu,42.3578,130.4622,6.04,79,100,2.58,KP,1699493764
105,kichmengskiy gorodok,59.9816,45.7854,3.86,80,100,4.02,RU,1699493764
106,pedregal,8.3667,-82.4333,29.04,89,40,3.58,PA,1699493765
107,gorontalo,0.5412,123.0595,32.13,59,32,1.72,ID,1699493765
108,qusmuryn,52.4503,64.6311,4.35,90,100,1.15,KZ,1699493766
109,mount isa,-20.7333,139.5,33.87,33,54,6.69,AU,1699493766
110,ribeira grande,38.5167,-28.7,19.87,97,100,6.71,PT,1699493766
111,vila velha,-20.3297,-40.2925,20.97,83,20,2.06,BR,1699493767
112,karungdong,5.8844,121.263,29.16,72,100,0.97,PH,1699493767
113,xam nua,20.4197,104.0439,23.08,80,24,0.18,LA,1699493767
114,qoryooley,1.7878,44.53,24.87,88,27,0.38,SO,1699493768
115,paita,-5.0892,-81.1144,19.79,82,73,7.06,PE,1699493768
116,elbistan,38.2059,37.1983,11.21,55,80,1.18,TR,1699493768
117,remire-montjoly,4.9167,-52.2667,27.02,83,0,2.06,GF,1699493769
118,yellowknife,62.456,-114.3525,-7.71,86,100,1.03,CA,1699493479
119,luena,-11.7833,19.9167,17.31,98,100,2.12,AO,1699493769
120,kavaratti,10.5669,72.642,28.33,72,100,3.76,IN,1699493770
121,keflavik,64.0049,-22.5624,4.95,70,0,8.23,IS,1699493770
122,tutoia,-2.7619,-42.2744,26.6,87,9,5.68,BR,1699493770
123,livingstone,-17.8419,25.8543,25.6,47,80,2.36,ZM,1699493771
124,san justo,-30.7891,-60.5919,21.1,81,0,1.79,AR,1699493771
125,lebu,-37.6167,-73.65,10.7,88,2,8.18,CL,1699493549
126,north bend,43.4065,-124.2243,10.95,82,0,3.09,US,1699493692
127,jashpurnagar,22.9,84.15,18.54,53,10,1.26,IN,1699493772
128,hopkinsville,36.8656,-87.4886,24.02,65,1,6.25,US,1699493749
129,cedeira,43.6797,-8.0209,13.32,61,51,7.33,ES,1699493773
130,lamu,-2.2717,40.902,24.12,90,100,2.18,KE,1699493774
131,thompson,55.7435,-97.8558,-1.91,69,75,3.6,CA,1699493774
132,puerto armuelles,8.2833,-82.8667,28.98,84,100,3.13,PA,1699493516
133,avarua,-21.2078,-159.775,26.03,69,40,6.17,CK,1699493774
134,handia,25.3833,82.1833,22.04,49,22,1.99,IN,1699493775
135,margate,51.3813,1.3862,7.39,94,100,1.34,GB,1699493775
136,carutapera,-1.195,-46.02,26.21,82,93,3.28,BR,1699493294
137,blackmans bay,-43.0167,147.3167,20.29,77,42,0.45,AU,1699493776
